DISTRICT,STATES,Months,2021-2022forecast,2021-2022plan,2021-2022Actual,actual -plan,actual-forecast
SAWAIMADHOPUR,Rajasthan,Oct-21,2670.16,3200,3783,0.154110494,0.294168649
SEIKHPURA,Bihar,Oct-21,843.78,950,506,0.877470356,0.667549407
SHEOHAR,Bihar,Oct-21,714.87,1040,552,0.884057971,0.295054348
SIKAR,Rajasthan,Oct-21,4596.93,3400,5188.7,0.344729894,0.114049762
SIROHI,Rajasthan,Oct-21,2013.38,1800,2600.45,0.307812109,0.225757081
SITAMARHI,Bihar,Oct-21,842.4,2915,875.45,2.329716146,0.037752013
SIWAN,Bihar,Oct-21,4607.36,6295,2544.75,1.473720405,0.810535416
SRIGANGANAGAR,Rajasthan,Oct-21,3858.7,3600,3922,0.082100969,0.016139725
SUPAUL,Bihar,Oct-21,1046.7,2005,1758.8,0.139981806,0.404878326
TONK,Rajasthan,Oct-21,2406.25,1800,2365.8,0.239158002,0.01709781
UDAIPUR,Rajasthan,Oct-21,3713.46,4100,4559.75,0.100827896,0.185600088
VAISHALI,Bihar,Oct-21,7240.63,5935,3596.25,0.650330205,1.013383385
WEST CHAMPARAN,Bihar,Oct-21,8984.7,9535,5074.2,0.879113949,0.770663356
AJMER,Rajasthan,Nov-21,6806.4,4500,4618.25,0.025604937,0.473805013
ALWAR,Rajasthan,Nov-21,6616.51,7300,6248.65,0.168252343,0.058870316
ARARIA,Bihar,Nov-21,2695.15,3790,3069.35,0.234789125,0.121915063
ARWAL,Bihar,Nov-21,532.18,945,328,1.881097561,0.6225
AURANGABAD,Bihar,Nov-21,5160.95,8840,3215,1.749611198,0.605272162
BANKA,Bihar,Nov-21,3321.75,4750,2857.55,0.662263128,0.162446851
BANSWARA,Rajasthan,Nov-21,1920.81,1700,1602,0.061173533,0.199007491
BARAN,Rajasthan,Nov-21,1768.84,1400,919,0.523394995,0.924744287
BARMER,Rajasthan,Nov-21,1691.78,1500,1250.75,0.199280432,0.352612433
BEGUSARAI,Bihar,Nov-21,706.79,1240,830.4,0.493256262,0.148855973
BHAGALPUR,Bihar,Nov-21,1892.37,4155,1211.4,2.4299158,0.56213472
BHARATPUR,Rajasthan,Nov-21,6434.92,6800,5029.35,0.352063388,0.279473491
BHILWARA,Rajasthan,Nov-21,5466.98,4800,4316.9,0.111909009,0.266413399
BHOJPUR,Bihar,Nov-21,2229.32,2920,1481,0.971640783,0.505280216
BIKANER,Rajasthan,Nov-21,3903.83,3600,2643.8,0.361676375,0.476598079
